query_id,strategy,k,hit,recall,mrr,ndcg
S01,strategy0,20,1,0.17647058823529413,1.0,0.2556644309038243
S01,strategy1,20,1,0.4117647058823529,0.3333333333333333,0.3436277092625204
S01,strategy2,20,1,0.23529411764705882,1.0,0.28511769084122945
S02,strategy0,20,0,0.0,0.0,0.0
S02,strategy1,20,1,0.1111111111111111,0.0625,0.05750402108673013
S02,strategy2,20,0,0.0,0.0,0.0
S03,strategy0,20,1,0.6,1.0,0.7227265726449519
S03,strategy1,20,1,0.8,1.0,0.7320253460358844
S03,strategy2,20,1,0.6,1.0,0.6992148198508501
S04,strategy0,20,1,0.5,1.0,0.6179239521040644
S04,strategy1,20,1,0.5,0.25,0.4077541367066511
S04,strategy2,20,1,0.5,1.0,0.5998021416487725
S05,strategy0,20,1,0.36363636363636365,0.3333333333333333,0.29850489139117703
S05,strategy1,20,1,0.09090909090909091,0.125,0.06541518452970234
S05,strategy2,20,1,0.18181818181818182,0.2,0.1346816038764209
S06,strategy0,20,1,0.22916666666666666,1.0,0.5996996024973975
S06,strategy1,20,1,0.25,1.0,0.6493245430714955
S06,strategy2,20,1,0.16666666666666666,0.5,0.35656510423125926
S07,strategy0,20,1,0.75,1.0,0.7238041938808357
S07,strategy1,20,1,0.875,1.0,0.9006339417721319
S07,strategy2,20,1,0.75,1.0,0.7216708110278947
S08,strategy0,20,1,0.35294117647058826,0.125,0.24271880577281257
S08,strategy1,20,1,0.058823529411764705,0.3333333333333333,0.07879213539011483
S08,strategy2,20,1,0.23529411764705882,0.1,0.1577730699266167
S09,strategy0,20,1,0.35714285714285715,1.0,0.431879854212036
S09,strategy1,20,1,0.2857142857142857,0.1111111111111111,0.19713072882733107
S09,strategy2,20,1,0.14285714285714285,1.0,0.2376137309262018
S10,strategy0,20,1,0.2619047619047619,1.0,0.6314979633286912
S10,strategy1,20,1,0.2857142857142857,1.0,0.6512201089990338
S10,strategy2,20,1,0.21428571428571427,1.0,0.506084744840106
S11,strategy0,20,1,0.375,0.3333333333333333,0.2634632172477732
S11,strategy1,20,0,0.0,0.0,0.0
S11,strategy2,20,1,0.125,0.2,0.09785159463516042
S12,strategy0,20,1,0.22950819672131148,1.0,0.7487682578142855
S12,strategy1,20,1,0.14754098360655737,1.0,0.5479103243990328
S12,strategy2,20,1,0.19672131147540983,1.0,0.6345460045715747
S13,strategy0,20,1,0.25806451612903225,1.0,0.5137517670306817
S13,strategy1,20,1,0.16129032258064516,1.0,0.29210266792016903
S13,strategy2,20,1,0.16129032258064516,0.5,0.272308492999938
S14,strategy0,20,1,0.1875,1.0,0.2468556235722302
S14,strategy1,20,1,0.1875,0.5,0.19354795713696166
S14,strategy2,20,1,0.0625,0.25,0.0705333542487353
S15,strategy0,20,1,0.4,0.14285714285714285,0.1943882471462917
S15,strategy1,20,1,0.2,0.1,0.09803928583135704
S15,strategy2,20,1,0.2,0.14285714285714285,0.11305340175787204
S16,strategy0,20,1,0.19047619047619047,0.3333333333333333,0.19904654613741907
S16,strategy1,20,1,0.14285714285714285,0.14285714285714285,0.12100971823286923
S16,strategy2,20,1,0.09523809523809523,1.0,0.17490501020123428
S17,strategy0,20,1,0.38461538461538464,1.0,0.8073116650892531
S17,strategy1,20,1,0.2564102564102564,0.16666666666666666,0.3919851376689803
S17,strategy2,20,1,0.28205128205128205,1.0,0.6278057326803276
S18,strategy0,20,1,0.2463768115942029,1.0,0.8265656208947358
S18,strategy1,20,1,0.2028985507246377,1.0,0.7022491586861912
S18,strategy2,20,1,0.2318840579710145,1.0,0.8478447673209474
S19,strategy0,20,1,0.2,1.0,0.6796847184225139
S19,strategy1,20,1,0.2571428571428571,1.0,0.9256287602453159
S19,strategy2,20,1,0.14285714285714285,0.5,0.466008189415498
S20,strategy0,20,1,0.17142857142857143,1.0,0.3282950842675518
S20,strategy1,20,1,0.3142857142857143,1.0,0.5872721803229065
S20,strategy2,20,1,0.2,1.0,0.44483706893693836
S21,strategy0,20,1,0.3055555555555556,0.3333333333333333,0.5048725883298943
S21,strategy1,20,1,0.19444444444444445,1.0,0.41057009791899696
S21,strategy2,20,1,0.1388888888888889,1.0,0.4066089745468929
