query_id,retriever,k,hit,recall,mrr,ndcg
S01,chunk,20,1,0.16666666666666666,0.05,0.06889356673757306
S01,full,20,1,0.16666666666666666,0.3333333333333333,0.15130120674940672
S02,chunk,20,0,0.0,0.0,0.0
S02,full,20,1,0.3333333333333333,0.08333333333333333,0.12681701683239352
S03,chunk,20,1,1.0,0.3333333333333333,0.5706417189553201
S03,full,20,1,1.0,1.0,0.8772153153380493
S04,chunk,20,1,0.75,0.3333333333333333,0.5028914600027478
S04,full,20,1,0.875,0.5,0.6011112432966388
S05,chunk,20,1,0.5,0.05555555555555555,0.14434031438272124
S05,full,20,1,1.0,0.2,0.4082307968370143
S06,chunk,20,1,0.36,1.0,0.515482382361381
S06,full,20,1,0.36,1.0,0.5558379803417178
S07,chunk,20,1,0.36363636363636365,1.0,0.47835070911259503
S07,full,20,1,0.36363636363636365,0.25,0.3125078635692578
S08,chunk,20,1,0.2222222222222222,0.2,0.16927654709047393
S08,full,20,1,0.2222222222222222,0.25,0.19215663883127904
S09,chunk,20,1,0.3333333333333333,0.25,0.2254972476236886
S09,full,20,1,0.5555555555555556,1.0,0.6230734794245022
S10,chunk,20,1,0.23076923076923078,1.0,0.3612334525104365
S10,full,20,1,0.38461538461538464,0.5,0.4940177822842226
S11,chunk,20,0,0.0,0.0,0.0
S11,full,20,1,0.7142857142857143,0.3333333333333333,0.4983727609046908
S12,chunk,20,1,0.23684210526315788,1.0,0.5623389396924089
S12,full,20,1,0.39473684210526316,1.0,0.8146189166111474
S13,chunk,20,1,0.25,0.5,0.28751967721172006
S13,full,20,1,0.25,1.0,0.3271491040371503
S14,chunk,20,1,0.25,0.14285714285714285,0.1641087728183339
S14,full,20,1,0.25,0.07692307692307693,0.1283178526299328
S15,chunk,20,0,0.0,0.0,0.0
S15,full,20,0,0.0,0.0,0.0
S16,chunk,20,1,0.15384615384615385,0.14285714285714285,0.11845324657427171
S16,full,20,1,0.15384615384615385,0.3333333333333333,0.1473403113995471
S17,chunk,20,1,0.36363636363636365,0.5,0.5729291369155232
S17,full,20,1,0.30303030303030304,1.0,0.6251481638345453
S18,chunk,20,1,0.12195121951219512,0.3333333333333333,0.2589640528169428
S18,full,20,1,0.34146341463414637,1.0,0.7114178434552221
S19,chunk,20,1,0.06060606060606061,0.1111111111111111,0.08237937957084719
S19,full,20,1,0.2727272727272727,1.0,0.4812428976361913
S20,chunk,20,1,0.09090909090909091,0.0625,0.05073103706827456
S20,full,20,1,0.18181818181818182,0.07142857142857142,0.1049160778038003
S21,chunk,20,1,0.2,0.3333333333333333,0.1849194820325054
S21,full,20,1,0.26666666666666666,0.25,0.23027346662869075
