query_id,embedding_model,k,hit,recall,mrr,ndcg
S01,bge_m3_ko,20,1,0.16666666666666666,0.2,0.11706259313796354
S01,clova,20,1,0.16666666666666666,0.1111111111111111,0.09109240322345806
S01,kure,20,1,0.16666666666666666,0.2,0.11706259313796354
S02,bge_m3_ko,20,1,0.3333333333333333,0.1,0.13565197343244778
S02,clova,20,1,0.3333333333333333,0.07142857142857142,0.12011565579805131
S02,kure,20,1,0.3333333333333333,0.07142857142857142,0.12011565579805131
S03,bge_m3_ko,20,1,1.0,0.5,0.5912352048230277
S03,clova,20,1,1.0,1.0,1.0
S03,kure,20,1,1.0,0.5,0.6509209298071326
S04,bge_m3_ko,20,1,0.75,1.0,0.6261914269551292
S04,clova,20,1,0.625,1.0,0.5589066885951985
S04,kure,20,1,0.875,0.5,0.6011112432966388
S05,bge_m3_ko,20,0,0.0,0.0,0.0
S05,clova,20,1,1.0,0.14285714285714285,0.38162168437253385
S05,kure,20,1,1.0,0.2,0.4082307968370143
S06,bge_m3_ko,20,1,0.24,1.0,0.3770596999172005
S06,clova,20,1,0.32,1.0,0.45807204163322235
S06,kure,20,1,0.36,1.0,0.5558379803417178
S07,bge_m3_ko,20,1,0.36363636363636365,0.3333333333333333,0.3231776325712339
S07,clova,20,1,0.5454545454545454,1.0,0.5646567265390527
S07,kure,20,1,0.36363636363636365,0.25,0.3125078635692578
S08,bge_m3_ko,20,1,0.1111111111111111,0.2,0.09092803061897883
S08,clova,20,1,0.2222222222222222,0.125,0.14490437600615513
S08,kure,20,1,0.2222222222222222,0.25,0.19215663883127904
S09,bge_m3_ko,20,1,0.4444444444444444,0.2,0.32715007637474197
S09,clova,20,1,0.3333333333333333,1.0,0.44349635474070687
S09,kure,20,1,0.5555555555555556,1.0,0.6230734794245022
S10,bge_m3_ko,20,1,0.2692307692307692,0.3333333333333333,0.3327527131943281
S10,clova,20,1,0.38461538461538464,0.5,0.4941165837362344
S10,kure,20,1,0.38461538461538464,0.5,0.4940177822842226
S11,bge_m3_ko,20,1,0.5714285714285714,0.5,0.4138935266105817
S11,clova,20,1,0.2857142857142857,0.125,0.1526325998914987
S11,kure,20,1,0.7142857142857143,0.3333333333333333,0.4983727609046908
S12,bge_m3_ko,20,1,0.42105263157894735,1.0,0.8434045355935544
S12,clova,20,1,0.3684210526315789,1.0,0.7716716146526841
S12,kure,20,1,0.39473684210526316,1.0,0.8146189166111474
S13,bge_m3_ko,20,1,0.4166666666666667,0.3333333333333333,0.33539922397441585
S13,clova,20,1,0.4166666666666667,0.25,0.30058467000546857
S13,kure,20,1,0.25,1.0,0.3271491040371503
S14,bge_m3_ko,20,1,0.25,0.09090909090909091,0.13891135176275826
S14,clova,20,1,0.25,0.3333333333333333,0.22432294601898897
S14,kure,20,1,0.25,0.07692307692307693,0.1283178526299328
S15,bge_m3_ko,20,0,0.0,0.0,0.0
S15,clova,20,0,0.0,0.0,0.0
S15,kure,20,0,0.0,0.0,0.0
S16,bge_m3_ko,20,1,0.38461538461538464,0.3333333333333333,0.29240002743562
S16,clova,20,1,0.23076923076923078,0.2,0.19338479971310116
S16,kure,20,1,0.15384615384615385,0.3333333333333333,0.1473403113995471
S17,bge_m3_ko,20,1,0.18181818181818182,1.0,0.4399345537665761
S17,clova,20,1,0.24242424242424243,1.0,0.5324736788543761
S17,kure,20,1,0.30303030303030304,1.0,0.6251481638345453
S18,bge_m3_ko,20,1,0.36585365853658536,0.5,0.678032860105891
S18,clova,20,1,0.3170731707317073,0.5,0.6141481280184843
S18,kure,20,1,0.34146341463414637,1.0,0.7114178434552221
S19,bge_m3_ko,20,1,0.18181818181818182,1.0,0.41189512682312013
S19,clova,20,1,0.3939393939393939,1.0,0.6711462794700921
S19,kure,20,1,0.2727272727272727,1.0,0.4812428976361913
S20,bge_m3_ko,20,0,0.0,0.0,0.0
S20,clova,20,1,0.2727272727272727,0.5,0.30035426292348477
S20,kure,20,1,0.18181818181818182,0.07142857142857142,0.1049160778038003
S21,bge_m3_ko,20,1,0.2,1.0,0.3296101425627874
S21,clova,20,1,0.3333333333333333,0.25,0.2636620175404814
S21,kure,20,1,0.26666666666666666,0.25,0.23027346662869075
