query_id,retriever,k,hit,recall,mrr,ndcg,goldset_count,retrieved_relevant_count,matched_isbns
S01,bm25,20,1,0.2631578947368421,1.0,0.3470809535057101,19,5,"['9791157833733', '9788978496209', '9791189088361', '9791157063598', '9791160545326']"
S01,dense,20,1,0.2631578947368421,1.0,0.36234097738029514,19,5,"['9791157833733', '9791194741190', '9791196539757', '9791138832953', '9791157786787']"
S01,hybrid,20,1,0.47368421052631576,1.0,0.5457287800894955,19,9,"['9791157833733', '9791170360384', '9791194741190', '9791196539757', '9791156227342', '9791138832953', '9791160022735', '9791157786787', '9788997743629']"
S02,bm25,20,0,0.0,0.0,0.0,9,0,[]
S02,dense,20,0,0.0,0.0,0.0,9,0,[]
S02,hybrid,20,0,0.0,0.0,0.0,9,0,[]
S03,bm25,20,1,0.75,0.3333333333333333,0.4238368036015262,4,3,"['9791191926859', '9791164067886', '9791159715990']"
S03,dense,20,1,1.0,1.0,0.8936878980719799,4,4,"['9791191926859', '9791164067886', '9791166893568', '9791159715990']"
S03,hybrid,20,1,1.0,1.0,0.8757028831317643,4,4,"['9791191926859', '9791164067886', '9791166893568', '9791159715990']"
S04,bm25,20,1,0.30434782608695654,0.3333333333333333,0.3607756746511768,23,7,"['9788984049697', '9788997091164', '9788976334367', '9791197888076', '9791173552977', '9791165215798', '9788963050676']"
S04,dense,20,1,0.43478260869565216,1.0,0.6203916074495334,23,10,"['9788959890316', '9788991767652', '9788984049697', '9791168320680', '9788963700663', '9791197888076', '9791165345075', '9788974255053', '9788996160502', '9791160544312']"
S04,hybrid,20,1,0.43478260869565216,1.0,0.548667746822977,23,10,"['9788959890316', '9788991767652', '9788984049697', '9788997091164', '9791168320680', '9788976334367', '9791197888076', '9788974255053', '9791173552977', '9791160544312']"
S05,bm25,20,0,0.0,0.0,0.0,13,0,[]
S05,dense,20,1,0.3076923076923077,0.3333333333333333,0.26880218390148647,13,4,"['9788997294411', '9791168123090', '9788956582566', '9791162993712']"
S05,hybrid,20,1,0.3076923076923077,1.0,0.3359953232410919,13,4,"['9788997294411', '9791168123090', '9788956582566', '9791162993712']"
S06,bm25,20,1,0.16666666666666666,1.0,0.5986806275890229,66,11,"['9791193842287', '9791195284429', '9791139707113', '9791161691268', '9791168321786', '9791157845767', '9788996286509', '9788996704751', '9788986346428', '9791140704835', '9788968330209']"
